City,State,State Name,Water Utility,Hardness (mg/L CaCO3),Hardness Class,Infrastructure Class,Winter Risk,Avg Winter Temp (F),Climate,Pipe Material,Pipe Era,Sewer System,Soil Type,Dominant Failure,Risk Score,Risk Class
"Rochester",NY,"New York","Monroe County Water Authority",105,"Moderately Hard",aging,high,20,"humid continental","galvanized steel and cast iron in pre-1960 homes, copper in mid-century builds","1900s–1940s in Park Avenue and Corn Hill, 1950s–1980s in outer neighborhoods","Monroe County Pure Waters — combined sewer with ongoing CSO reduction program","glacial till and lake clay — frost penetrates 36–42 inches, high water table near lakes","frozen pipes during lake-effect snow events and corroded galvanized supply lines",8,High
"Arlington TX",TX,"Texas","Arlington Water Utilities",175,"Hard",mixed,med,38,"humid subtropical","copper in older areas, PEX and CPVC dominant in post-1990 construction","1950s–1980s in established neighborhoods, 1990s–2020s in north Arlington expansion","Arlington Water Utilities — separate sanitary system, modern infrastructure in most areas","expansive clay (Arlington and Eagle Ford formations) — severe seasonal movement","slab leaks from expansive clay soil and freeze events catching homeowners unprepared",7,Elevated
"Plano",TX,"Texas","City of Plano Water Department",165,"Hard",mixed,med,37,"humid subtropical","copper in 1970s–80s homes, PEX and CPVC dominant in post-1990 construction","1970s–1990s in established neighborhoods, 2000s–2020s in west Plano expansion","North Texas Municipal Water District — modern regional system","expansive clay (Arlington and Eagle Ford formations) — significant seasonal movement","slab leaks from expansive clay soil and post-freeze pipe failures in older homes",7,Elevated
"Corpus Christi",TX,"Texas","City of Corpus Christi Water Department",195,"Very Hard",mixed,low,55,"humid subtropical","copper in older areas, PVC and CPVC dominant in post-1990 construction","1950s–1980s in established neighborhoods, 1990s–2020s in southside expansion","City of Corpus Christi Wastewater — separate system, aging infrastructure in coastal areas","coastal sandy clay and shell — high water table, salt intrusion in coastal zones","coastal salt air corrosion on copper lines and hard water scale accumulation",7,Elevated
"Durham",NC,"North Carolina","City of Durham Department of Water Management",55,"Soft",mixed,med,33,"humid subtropical","galvanized and copper in pre-1960 homes, PVC and PEX in post-1980 construction","1920s–1950s in Trinity Park and Old West Durham, 1960s–1990s in outer neighborhoods","City of Durham — separate sanitary system, aging clay infrastructure in historic districts","Piedmont red clay (Cecil series) — moderate to high seasonal movement","clay sewer lateral root infiltration and freeze events in uninsulated crawl spaces",5,Moderate
"Greensboro",NC,"North Carolina","City of Greensboro Water Resources Department",48,"Soft",mixed,med,32,"humid subtropical","galvanized and copper in pre-1960 homes, PVC and PEX in post-1980 construction","1920s–1950s in College Hill and Fisher Park, 1960s–1990s in outer neighborhoods","City of Greensboro — separate sanitary system, aging infrastructure in historic districts","Piedmont red clay and sandy loam — moderate seasonal movement","clay sewer lateral root infiltration and freeze events catching homeowners unprepared",5,Moderate
"Chesapeake",VA,"Virginia","Chesapeake Public Utilities",105,"Moderately Hard",mixed,med,35,"humid subtropical","copper in older areas, PVC and PEX dominant in post-1990 construction","1960s–1990s in established neighborhoods, 2000s–2020s in south Chesapeake","Hampton Roads Sanitation District — regional system serving coastal Virginia","coastal sandy loam and clay — high water table, poor pipe bedding in sandy zones","coastal salt air corrosion and slab foundation movement from sandy soil",6,Elevated
"Norfolk",VA,"Virginia","Norfolk Department of Utilities",95,"Moderately Hard",aging,med,34,"humid subtropical","galvanized and copper in pre-1960 homes, PVC and PEX in post-1980 construction","1900s–1940s in Ghent and Colonial Place, 1950s–1980s in Ocean View and Ward's Corner","Hampton Roads Sanitation District — aging combined sewer in downtown, separated in newer areas","coastal sandy clay and fill — high water table, significant settlement in filled areas","coastal salt air corrosion on copper lines and aging galvanized supply lines",7,Elevated
"Baton Rouge",LA,"Louisiana","Baton Rouge Water Company",88,"Moderately Hard",aging,low,48,"humid subtropical","galvanized and copper in pre-1960 homes, PVC and PEX in post-1980 construction","1920s–1950s in Garden District and Mid City, 1960s–1990s in South Baton Rouge","City of Baton Rouge — combined sewer overflow system with ongoing rehabilitation","Mississippi River alluvial clay and loam — high water table, aggressive toward buried iron","corroded galvanized supply lines in pre-1960 homes and root infiltration in clay sewer lines",6,Elevated
"Madison",WI,"Wisconsin","Madison Water Utility",145,"Hard",aging,high,12,"humid continental","galvanized steel and copper in pre-1960 homes, PVC and PEX in post-1980 construction","1900s–1950s in Near West Side and Isthmus, 1960s–1990s in outer neighborhoods","Madison Metropolitan Sewerage District — separate sanitary in most areas, combined in oldest core","glacial till and lacustrine clay — frost penetrates 48–60 inches in severe winters","frozen and burst pipes during extreme winter cold snaps and corroded galvanized supply lines",9,High
"Arlington VA",VA,"Virginia","Arlington County Department of Environmental Services",110,"Moderately Hard",mixed,high,28,"humid subtropical","copper in post-WWII garden apartments, PEX and CPVC in modern high-rises","1940s–1970s in established neighborhoods, 1980s–2020s in high-density corridors","Arlington County Water Pollution Control Plant — separate system, relatively modern","Piedmont clay and coastal plain sediments — moderate frost penetration","aging copper supply in garden apartment complexes and frozen pipes in uninsulated exteriors",7,Elevated
"Irvine",CA,"California","Irvine Ranch Water District",270,"Very Hard",modern,low,54,"Mediterranean","copper in 1970s–80s homes, PEX and CPVC dominant in post-1990 construction","1970s–1990s in master-planned communities, 2000s–2020s in newer villages","Irvine Ranch Water District — modern regional system with reclaimed water network","expansive clay and alluvial fill — causes foundation movement in saturated conditions","hard water scale blockages and slab leaks from expansive soil",6,Elevated
"Chandler",AZ,"Arizona","City of Chandler Water Department",250,"Very Hard",modern,low,51,"hot desert","copper in 1970s–80s homes, PEX and CPVC dominant in post-1990 construction","1970s–1990s in established neighborhoods, 2000s–2020s in south Chandler expansion","City of Chandler — modern gravity sewer with regional treatment","desert alluvium and caliche — highly alkaline, accelerates metal corrosion","extreme hard water scale and UV/heat degradation of exposed fittings",6,Elevated
"Gilbert",AZ,"Arizona","Town of Gilbert Water Department",250,"Very Hard",modern,low,52,"hot desert","PEX and CPVC dominant, copper in custom homes","1990s–2020s — Gilbert is a newer master-planned community","Town of Gilbert — modern gravity sewer with regional treatment","desert alluvium and caliche — highly alkaline, minimal soil movement","extreme hard water scale and UV/heat degradation of exposed fittings",6,Elevated
"Birmingham",AL,"Alabama","Birmingham Water Works",95,"Moderately Hard",mixed,med,38,"humid subtropical","copper in older homes, PEX and CPVC dominant in post-1980 construction","1950s–1970s in established neighborhoods, 1980s–2000s in suburban expansion","Jefferson County Environmental Services — combined system in oldest areas","piedmont clay and shale — expansive soils that shift with moisture changes","corroded galvanized steel in pre-1970 homes and tree root intrusion in clay soil",6,Elevated
"Huntsville",AL,"Alabama","Huntsville Utilities",115,"Moderately Hard",mixed,med,35,"humid subtropical","copper in older homes, PEX dominant in post-1990 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","Huntsville Utilities — separate stormwater and sanitary systems","limestone and clay mix — rocky terrain affects pipe installation","corroded galvanized steel in pre-1970 homes and frozen pipes in uninsulated areas",6,Elevated
"Little Rock",AR,"Arkansas","Central Arkansas Water",125,"Hard",mixed,med,36,"humid subtropical","copper in older homes, PEX and CPVC dominant in post-1980 construction","1950s–1970s in established neighborhoods, 1980s–2000s in suburban expansion","Central Arkansas Water — separate stormwater and sanitary systems","expansive clay and alluvial deposits — significant soil movement with moisture","corroded galvanized steel in pre-1970 homes and slab leaks from expansive clay",7,Elevated
"Honolulu",HI,"Hawaii","Board of Water Supply",72,"Moderately Hard",mixed,low,73,"tropical","copper in older homes, CPVC and PEX dominant in post-1990 construction","1960s–1980s in established areas, 1990s–2020s in newer development","City and County of Honolulu — separate system, aging infrastructure in older areas","volcanic basalt and coral fill — rocky terrain affects pipe installation","salt air corrosion on copper lines and deteriorated PVC in coastal properties",5,Moderate
"Boise",ID,"Idaho","Suez Water Idaho",165,"Hard",mixed,high,28,"semi-arid continental","copper in older homes, PEX and CPVC dominant in post-1980 construction","1950s–1970s in established neighborhoods, 1980s–2010s in suburban expansion","City of Boise — separate stormwater and sanitary systems","rocky alluvial and sandy loam — well-draining but challenging for excavation","frozen pipes in uninsulated areas and hard water scale accumulation",8,High
"Des Moines",IA,"Iowa","Des Moines Water Works",140,"Hard",mixed,high,22,"humid continental","copper in older homes, PEX and CPVC dominant in post-1980 construction","1950s–1970s in established neighborhoods, 1980s–2010s in suburban expansion","Des Moines Metropolitan Wastewater Reclamation Authority — separate system","glacial till and loam — heavy soils that can shift with freeze-thaw","hard water scale blockages and frozen pipes in uninsulated areas",8,High
"Wichita",KS,"Kansas","City of Wichita Water",245,"Very Hard",mixed,high,30,"humid subtropical","copper in older homes, PEX and CPVC dominant in post-1980 construction","1950s–1970s in established neighborhoods, 1980s–2010s in suburban expansion","City of Wichita — separate stormwater and sanitary systems","expansive clay and silt loam — significant soil movement with moisture","hard water scale blockages and slab leaks from expansive clay",9,High
"Providence",RI,"Rhode Island","Providence Water",58,"Soft",aging,high,27,"humid continental","lead and galvanized steel in pre-1900 homes, copper in mid-century builds","1800s–1930s in historic neighborhoods, 1940s–1970s in outer areas","Narragansett Bay Commission — combined sewer in oldest neighborhoods","glacial till and coastal fill — frost penetrates 36–48 inches in severe winters","corroded galvanized supply lines in pre-1950 homes and frozen pipes in uninsulated basements",7,Elevated
"Salt Lake City",UT,"Utah","Salt Lake City Department of Public Utilities",225,"Very Hard",mixed,high,27,"semi-arid continental","galvanized steel in pre-1940 homes, copper in mid-century builds, PEX in newer construction","1900s–1940s in The Avenues and Capitol Hill, 1950s–1980s in suburban areas","Salt Lake City Public Utilities — separate stormwater and sanitary systems","rocky alluvial and clay — challenging excavation conditions","hard water scale blockages and frozen pipes in uninsulated areas",9,High
"Anchorage",AK,"Alaska","Anchorage Water and Wastewater Utility",85,"Moderately Hard",mixed,high,15,"subarctic","copper in older homes, PEX and CPVC dominant in post-1980 construction","1960s–1980s in established neighborhoods, 1990s–2020s in suburban expansion","Anchorage Water and Wastewater Utility — separate system with freeze protection","glacial till and permafrost areas — unique installation challenges","frozen pipes in uninsulated areas and corrosion from road salt",7,Elevated
"Montgomery",AL,"Alabama","Montgomery Water Works and Sanitary Sewer Board",88,"Moderately Hard",mixed,med,40,"humid subtropical","copper in older homes, PEX and CPVC dominant in post-1980 construction","1950s–1970s in established neighborhoods, 1980s–2000s in suburban expansion","Montgomery Water Works — combined system in oldest areas","piedmont clay and sandy loam — moderately expansive soils","corroded galvanized steel in pre-1970 homes and tree root intrusion in clay soil",6,Elevated
"Mobile",AL,"Alabama","Mobile Area Water and Sewer System",72,"Moderately Hard",mixed,low,48,"humid subtropical","copper in older homes, PEX and CPVC dominant in post-1980 construction","1940s–1960s in historic areas, 1970s–1990s in suburban expansion","Mobile Area Water and Sewer System — combined system in historic areas","coastal alluvial and clay — poor drainage in low-lying areas","corroded galvanized steel in pre-1970 homes and salt air corrosion on copper",5,Moderate
"Cedar Rapids",IA,"Iowa","Cedar Rapids Water Department",285,"Very Hard",mixed,high,18,"humid continental","copper in older homes, PEX dominant in post-1980 construction","1940s–1960s in established areas, 1970s–1990s in suburban expansion","Cedar Rapids Water Department — separate system with flood resilience","glacial till and alluvial deposits — well-draining but challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",9,High
"Overland Park",KS,"Kansas","WaterOne",185,"Very Hard",modern,high,28,"humid continental","copper in older homes, PEX dominant in post-1990 construction","1970s–1990s in established areas, 2000s–2020s in new development","WaterOne — separate system with modern infrastructure","clay and limestone — challenging for excavation and pipe installation","hard water scale accumulation and frozen pipes in uninsulated areas",8,High
"Bridgeport",CT,"Connecticut","Aquarion Water Company",95,"Moderately Hard",aging,high,26,"humid continental","copper in older homes, PEX and CPVC dominant in post-1980 construction","1920s–1940s in historic areas, 1950s–1970s in post-war expansion","Aquarion Water Company — combined system in historic areas","coastal clay and glacial till — challenging for excavation","corroded cast iron in pre-1950 homes and frozen pipes in uninsulated areas",8,High
"Jersey City",NJ,"New Jersey","Suez Water",65,"Moderately Hard",aging,high,30,"humid subtropical","copper in older homes, PEX and CPVC dominant in post-1980 construction","1900s–1930s in historic areas, 1950s–1970s in post-war expansion","Jersey City Municipal Utilities Authority — combined system in historic areas","urban fill and glacial till — challenging for excavation in dense areas","corroded cast iron in pre-1940 homes and frozen pipes in uninsulated areas",8,High
"Toledo",OH,"Ohio","City of Toledo Water Department",265,"Very Hard",aging,high,22,"humid continental","copper in older homes, PEX dominant in post-1980 construction","1920s–1940s in historic areas, 1950s–1970s in post-war expansion","City of Toledo Water Department — combined system in historic areas","glacial till and clay — challenging for excavation and pipe installation","hard water scale accumulation and corroded cast iron in pre-1950 homes",10,High
"Akron",OH,"Ohio","City of Akron Water Department",245,"Very Hard",aging,high,24,"humid continental","copper in older homes, PEX dominant in post-1980 construction","1910s–1940s in historic areas, 1950s–1970s in post-war expansion","City of Akron Water Department — combined system in historic areas","glacial till and clay — challenging for excavation and pipe installation","hard water scale accumulation and corroded cast iron in pre-1940 homes",10,High
"Dayton",OH,"Ohio","City of Dayton Water Department",275,"Very Hard",mixed,high,25,"humid continental","copper in older homes, PEX dominant in post-1980 construction","1920s–1940s in historic areas, 1950s–1970s in post-war expansion","City of Dayton Water Department — combined system in historic areas","glacial till and clay — challenging for excavation and pipe installation","hard water scale accumulation and frozen pipes in uninsulated areas",9,High
"Fort Wayne",IN,"Indiana","City of Fort Wayne City Utilities",255,"Very Hard",mixed,high,23,"humid continental","copper in older homes, PEX dominant in post-1980 construction","1920s–1940s in historic areas, 1950s–1970s in post-war expansion","City of Fort Wayne City Utilities — combined system in historic areas","glacial till and clay — challenging for excavation and pipe installation","hard water scale accumulation and frozen pipes in uninsulated areas",9,High
"Spokane",WA,"Washington","City of Spokane Water Department",135,"Hard",mixed,high,27,"humid continental","copper in older homes, PEX dominant in post-1980 construction","1900s–1930s in historic areas, 1950s–1970s in post-war expansion","City of Spokane Water Department — combined system in historic areas","glacial outwash and basalt — rocky terrain affects pipe installation","corroded cast iron in pre-1940 homes and frozen pipes in uninsulated areas",8,High
"Tacoma",WA,"Washington","Tacoma Water",95,"Moderately Hard",mixed,high,35,"Mediterranean","copper in older homes, PEX and CPVC dominant in post-1980 construction","1900s–1930s in historic areas, 1950s–1970s in post-war expansion","Tacoma Water — combined system in historic areas","glacial till and marine clay — challenging for excavation","corroded cast iron in pre-1940 homes and frozen pipes in uninsulated areas",7,Elevated
"Grand Rapids",MI,"Michigan","City of Grand Rapids Water Department",225,"Very Hard",mixed,high,23,"humid continental","copper in older homes, PEX dominant in post-1980 construction","1910s–1940s in historic areas, 1950s–1970s in post-war expansion","City of Grand Rapids Water Department — combined system in historic areas","glacial till and clay — challenging for excavation and pipe installation","hard water scale accumulation and frozen pipes in uninsulated areas",9,High
"Lexington",KY,"Kentucky","Kentucky American Water",165,"Hard",mixed,high,29,"humid subtropical","copper in older homes, PEX and CPVC dominant in post-1980 construction","1940s–1960s in established areas, 1970s–1990s in suburban expansion","Kentucky American Water — separate system with modern infrastructure","limestone and clay — challenging for excavation and pipe installation","hard water scale accumulation and frozen pipes in uninsulated areas",8,High
"Sioux Falls",SD,"South Dakota","City of Sioux Falls Water Department",195,"Very Hard",mixed,high,12,"humid continental","copper in older homes, PEX dominant in post-1980 construction","1940s–1960s in established areas, 1970s–1990s in suburban expansion","City of Sioux Falls Water Department — separate system with modern infrastructure","glacial till and loam — well-draining but challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",9,High
"Oakland",CA,"California","East Bay Municipal Utility District",115,"Moderately Hard",mixed,low,48,"Mediterranean","copper in older homes, PEX and CPVC dominant in post-1980 construction","1900s–1930s in historic areas, 1950s–1970s in post-war expansion","East Bay Municipal Utility District — combined system in historic areas","bay fill and clay — challenging for excavation in dense areas","corroded cast iron in pre-1940 homes and earthquake-related pipe damage",5,Moderate
"Fremont",CA,"California","Alameda County Water District",145,"Hard",modern,low,45,"Mediterranean","copper in older homes, PEX and CPVC dominant in post-1980 construction","1960s–1980s in established areas, 1990s–2020s in suburban expansion","Alameda County Water District — separate system with modern infrastructure","bay fill and alluvial deposits — challenging for excavation","hard water scale accumulation and earthquake-related pipe damage",5,Moderate
"Henderson",NV,"Nevada","City of Henderson Water Department",275,"Very Hard",modern,low,42,"desert","copper in older homes, PEX dominant in post-2000 construction","1990s–2010s in established areas, 2010s–2020s in new development","City of Henderson Water Department — separate system with modern infrastructure","desert alluvial and caliche — challenging for excavation and pipe installation","hard water scale accumulation and corrosion from hard water",6,Elevated
"Reno",NV,"Nevada","Truckee Meadows Water Authority",155,"Hard",mixed,high,30,"cold desert","copper in older homes, PEX dominant in post-1980 construction","1950s–1970s in established areas, 1980s–2000s in suburban expansion","Truckee Meadows Water Authority — separate system with modern infrastructure","alluvial deposits and rocky terrain — challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",8,High
"Lincoln",NE,"Nebraska","Lincoln Water System",185,"Very Hard",mixed,high,22,"humid continental","copper in older homes, PEX dominant in post-1980 construction","1950s–1970s in established areas, 1980s–2000s in suburban expansion","Lincoln Water System — separate system with modern infrastructure","glacial till and loam — well-draining but challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",9,High
"St. Petersburg",FL,"Florida","City of St. Petersburg Water Resources",215,"Very Hard",mixed,low,62,"humid subtropical","copper in older homes, PVC and CPVC dominant in post-1970 construction","1950s–1970s in established areas, 1980s–2000s in suburban expansion","City of St. Petersburg — separate system with aging infrastructure in older areas","sandy coastal soil with high water table","corrosion from salt air and hard water scale accumulation",7,Elevated
"Laredo",TX,"Texas","City of Laredo Utilities",260,"Very Hard",modern,low,55,"semi-arid","PVC and CPVC dominant, copper in older homes","1970s–1990s in established areas, 2000s–2020s in new development","City of Laredo Utilities — separate system with flat terrain challenges","clay and sandy soil — flat terrain affects drainage","hard water scale accumulation and corrosion from water chemistry",6,Elevated
"Hayward",CA,"California","East Bay Municipal Utility District",145,"Hard",mixed,low,48,"Mediterranean","copper in older homes, PEX dominant in post-1980 construction","1950s–1970s in established areas, 1980s–2000s in suburban expansion","East Bay Municipal Utility District — separate system with aging infrastructure","bay fill and alluvial deposits — challenging for pipe installation","hard water scale accumulation and slab leaks from soil movement",6,Elevated
"Lancaster",CA,"California","Los Angeles County Public Works",290,"Very Hard",modern,low,45,"desert","PVC and CPVC dominant, copper in custom homes","1980s–2000s in established areas, 2000s–2020s in new development","Los Angeles County Public Works — separate system with desert infrastructure","desert alluvium — challenging for excavation and pipe installation","hard water scale accumulation and pipe joint stress from temperature extremes",6,Elevated
"Palmdale",CA,"California","Los Angeles County Public Works",285,"Very Hard",modern,low,44,"desert","PVC and CPVC dominant, copper in custom homes","1980s–2000s in established areas, 2000s–2020s in new development","Los Angeles County Public Works — separate system with desert infrastructure","desert alluvium — challenging for excavation and pipe installation","hard water scale accumulation and pipe joint stress from temperature extremes",6,Elevated
"Sunnyvale",CA,"California","Santa Clara Valley Water District",120,"Moderately Hard",modern,low,50,"Mediterranean","copper in older homes, PEX dominant in post-1980 construction","1960s–1980s in established areas, 1990s–2010s in redevelopment","Santa Clara Valley Water District — separate system with modern infrastructure","bay fill and alluvial deposits — stable conditions for pipes","hard water scale accumulation and aging copper pipe corrosion",4,Moderate
"Pomona",CA,"California","Los Angeles County Public Works",265,"Very Hard",mixed,low,52,"Mediterranean","copper in older homes, PVC and CPVC dominant in post-1970 construction","1950s–1970s in established areas, 1980s–2000s in suburban expansion","Los Angeles County Public Works — separate system with aging infrastructure","alluvial soil — moderate conditions for pipe installation","hard water scale accumulation and aging copper pipe corrosion",7,Elevated
"Escondido",CA,"California","City of Escondido Water Department",188,"Very Hard",modern,low,55,"Mediterranean","copper in older homes, PVC and CPVC dominant in post-1980 construction","1970s–1990s in established areas, 2000s–2020s in new development","City of Escondido Water Department — separate system with hilly terrain challenges","rocky soil and alluvial deposits — challenging for excavation","hard water scale accumulation and corrosion from water chemistry",6,Elevated
"Fort Lauderdale",FL,"Florida","City of Fort Lauderdale Public Works",195,"Very Hard",mixed,low,67,"humid subtropical","copper in older homes, PVC and CPVC dominant in post-1970 construction","1960s–1980s in established areas, 1990s–2010s in redevelopment","City of Fort Lauderdale — separate system with aging coastal infrastructure","sandy coastal soil with high water table","corrosion from salt air and storm-driven sewer backups",7,Elevated
"Hialeah",FL,"Florida","Miami-Dade Water and Sewer Department",205,"Very Hard",mixed,low,68,"tropical monsoon","copper in older homes, PVC and CPVC dominant in post-1970 construction","1960s–1980s in established areas, 1990s–2010s in infill development","Miami-Dade Water and Sewer Department — regional system with flood control","limestone and sandy soil with high water table","hard water scale accumulation and storm-driven sewer backups",7,Elevated
"Port St. Lucie",FL,"Florida","City of Port St. Lucie Utilities",225,"Very Hard",modern,low,64,"humid subtropical","PVC and CPVC dominant, copper in custom homes","1980s–2000s in established areas, 2000s–2020s in new development","City of Port St. Lucie Utilities — modern separate system","sandy soil with high water table","storm-driven sewer backups and hard water scale accumulation",6,Elevated
"Cape Coral",FL,"Florida","City of Cape Coral Utilities",285,"Very Hard",modern,low,65,"humid subtropical","PVC and CPVC dominant, copper in older homes","1970s–1990s in established areas, 2000s–2020s in new development","City of Cape Coral Utilities — separate system with canal network","sandy canal-side soil with high water table","hard water scale accumulation and corrosion from canal water exposure",6,Elevated
"Tallahassee",FL,"Florida","City of Tallahassee Utilities",85,"Moderately Hard",mixed,med,45,"humid subtropical","copper in older homes, PVC and CPVC dominant in post-1970 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","City of Tallahassee Utilities — separate system with hilly terrain challenges","red clay and sandy loam — hilly terrain affects drainage","freeze-thaw damage during cold snaps and storm-driven sewer backups",6,Elevated
"Clearwater",FL,"Florida","City of Clearwater Public Utilities",210,"Very Hard",mixed,low,63,"humid subtropical","copper in older homes, PVC and CPVC dominant in post-1970 construction","1950s–1970s in established areas, 1980s–2000s in suburban expansion","City of Clearwater Public Utilities — separate system with coastal infrastructure","sandy coastal soil with high water table","corrosion from salt air and hard water scale accumulation",7,Elevated
"Pembroke Pines",FL,"Florida","City of Pembroke Pines Utilities",200,"Very Hard",modern,low,67,"humid subtropical","PVC and CPVC dominant, copper in custom homes","1980s–2000s in established areas, 2000s–2020s in new development","City of Pembroke Pines Utilities — modern separate system","sandy soil with high water table","storm-driven sewer backups and hard water scale accumulation",6,Elevated
"Worcester",MA,"Massachusetts","City of Worcester Water Department",95,"Moderately Hard",aging,high,24,"humid continental","cast iron and galvanized in older homes, copper in post-1960 construction","1900s–1950s in older neighborhoods, 1960s–1980s in suburban areas","City of Worcester Water Department — combined system with overflow issues","glacial till and rocky soil — challenging for pipe access","freeze-thaw burst pipes and corroded cast iron drain lines",8,High
"Springfield",MA,"Massachusetts","City of Springfield Water and Sewer Commission",85,"Moderately Hard",aging,high,26,"humid continental","cast iron and galvanized in older homes, copper in post-1960 construction","1900s–1950s in older neighborhoods, 1960s–1980s in suburban areas","City of Springfield Water and Sewer Commission — combined system with overflow issues","river valley alluvium — high water table affects drainage","freeze-thaw burst pipes and corroded cast iron drain lines",8,High
"Cambridge",MA,"Massachusetts","Cambridge Water Department",55,"Soft",aging,high,28,"humid continental","cast iron and galvanized in historic homes, copper in post-1950 construction","1890s–1940s in historic areas, 1950s–1970s in other neighborhoods","Cambridge Water Department — combined system with overflow issues","urban fill and riverbank soil — challenging for excavation","corroded cast iron drain lines in historic buildings",7,Elevated
"New Haven",CT,"Connecticut","South Central Connecticut Regional Water Authority",75,"Moderately Hard",aging,high,27,"humid continental","cast iron and galvanized in historic homes, copper in post-1950 construction","1890s–1940s in historic areas, 1950s–1970s in suburban expansion","South Central Connecticut Regional Water Authority — combined system with overflow issues","coastal alluvium and urban fill — challenging for excavation","corroded cast iron drain lines in historic buildings",8,High
"Hartford",CT,"Connecticut","Metropolitan District Commission",80,"Moderately Hard",aging,high,25,"humid continental","cast iron and galvanized in historic homes, copper in post-1950 construction","1890s–1940s in historic areas, 1950s–1970s in suburban expansion","Metropolitan District Commission — combined system with overflow issues","river valley alluvium — challenging for excavation","corroded cast iron drain lines in historic buildings",8,High
"Stamford",CT,"Connecticut","Aquarion Water Company",90,"Moderately Hard",mixed,high,28,"humid continental","cast iron and galvanized in older homes, copper in post-1960 construction","1920s–1950s in established areas, 1960s–1980s in suburban expansion","Aquarion Water Company — separate system with aging infrastructure","coastal alluvium — challenging for excavation","corroded cast iron drain lines and freeze-thaw burst pipes",7,Elevated
"Dover",DE,"Delaware","City of Dover Water Department",110,"Moderately Hard",mixed,high,32,"humid subtropical","copper in older homes, PVC and CPVC dominant in post-1970 construction","1950s–1970s in established areas, 1980s–2000s in suburban expansion","City of Dover Water Department — separate system with aging infrastructure","coastal plain soil — moderate conditions for pipe installation","freeze-thaw burst pipes in uninsulated areas",7,Elevated
"Wilmington",DE,"Delaware","City of Wilmington Water Department",105,"Moderately Hard",aging,high,30,"humid subtropical","cast iron and galvanized in older homes, copper in post-1960 construction","1900s–1950s in older neighborhoods, 1960s–1980s in suburban expansion","City of Wilmington Water Department — combined system with overflow issues","river valley alluvium — challenging for excavation","corroded cast iron drain lines in older homes",8,High
"Santa Clara",CA,"California","Santa Clara Valley Water District",115,"Moderately Hard",modern,low,50,"Mediterranean","copper in older homes, PEX dominant in post-1980 construction","1970s–1990s in established areas, 2000s–2020s in redevelopment","Santa Clara Valley Water District — separate system with modern infrastructure","bay fill and alluvial deposits — stable conditions for pipes","hard water scale accumulation and slab leaks from soil movement",4,Moderate
"Nampa",ID,"Idaho","Nampa Public Works",175,"Hard",modern,high,27,"semi-arid continental","copper in older homes, PEX dominant in post-1980 construction","1970s–1990s in established areas, 2000s–2020s in new development","Nampa Public Works — separate system with modern infrastructure","rocky soil and alluvial deposits — challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",7,Elevated
"Idaho Falls",ID,"Idaho","Idaho Falls Water Department",155,"Hard",mixed,high,22,"semi-arid continental","copper in older homes, PEX dominant in post-1980 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","Idaho Falls Water Department — separate system with modern infrastructure","rocky soil and volcanic deposits — challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",8,High
"Pocatello",ID,"Idaho","Pocatello Water Department",160,"Hard",mixed,high,24,"semi-arid continental","copper in older homes, PEX dominant in post-1980 construction","1950s–1970s in established areas, 1980s–2000s in suburban expansion","Pocatello Water Department — separate system with aging infrastructure","rocky soil and alluvial deposits — challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",8,High
"Charleston",SC,"South Carolina","Charleston Water System",55,"Soft",aging,low,45,"humid subtropical","cast iron and galvanized in historic homes, copper in post-1960 construction","1940s–1960s in historic areas, 1970s–1990s in suburban expansion","Charleston Water System — separate system with coastal infrastructure","coastal marsh and sandy soil — high water table","corrosion from salt air and storm-driven sewer backups",5,Moderate
"North Charleston",SC,"South Carolina","Charleston Water System",60,"Soft",mixed,low,46,"humid subtropical","copper in older homes, PVC and CPVC dominant in post-1970 construction","1960s–1980s in established areas, 1990s–2010s in new development","Charleston Water System — separate system with coastal infrastructure","coastal marsh and sandy soil — high water table","storm-driven sewer backups and hard water scale accumulation",4,Moderate
"Modesto",CA,"California","City of Modesto",145,"Hard",mixed,low,48,"hot-summer Mediterranean","copper in older homes, PVC and PEX dominant in post-1980 construction","1960s–1990s in established areas, 2000s–2020s in suburban growth","City of Modesto — separate system with aging infrastructure in older areas","San Joaquin Valley clay and sandy loam — moderate soil movement","hard water scale buildup in water heaters and heat-related fitting failures",6,Elevated
"Sparks",NV,"Nevada","Truckee Meadows Water Authority",120,"Moderately Hard",mixed,med,32,"cold semi-arid","copper in older homes, PVC and PEX dominant in post-1990 construction","1970s–2000s in established areas, 2010s–2020s in new developments","Truckee Meadows Water Authority — modern system serving Reno-Sparks metro","high desert sandy loam and rocky terrain — challenging for excavation","freeze-thaw burst pipes during winter and hard water scale accumulation",6,Elevated
